,Released Date,Movie,Worldwide,India Hindi Net,India Gross,Overseas,Budget,Verdict
0,2023-12-22,Salaar: Cease Fire - Part 1,617.75,152.65,487.75,130.0,200,
1,2023-12-21,Aquaman and the Lost Kingdom,3595.0,3.59,30.25,2570.0,1,
2,2023-12-21,Dunki,454.0,227.0,272.0,182.0,1,Hit
3,2023-12-07,Hi Nanna,76.35,0.11,57.85,18.5,1,
4,2023-12-01,Sam Bahadur,130.3,93.95,111.8,18.5,1,Hit
5,2023-12-01,Animal,915.0,502.98,660.0,255.0,200,All Time Blockbuster
6,2023-11-24,Anaari is Back,,0.31,,,1,Disaster
7,2023-11-24,Napoleon,655.0,1.54,6.75,385.0,1,
8,2023-11-24,Farrey,3.2,2.68,3.2,0.0,1,
9,2023-11-17,Khichdi 2,5.25,5.9,5.25,0.0,1,
10,2023-11-12,Tiger 3,464.0,276.62,339.5,124.5,300,Hit
11,2023-11-10,The Marvels,1050.0,3.87,14.35,575.0,1,
12,2023-11-10,Jigarthanda Double X,64.55,0.02,52.25,12.3,1,
13,2023-11-03,UT 69,0.12,0.49,0.12,0.0,1,
14,2023-11-03,Aankh Micholi,2.4,2.0,2.4,0.0,1,
15,2023-10-27,Sajini Shinde Ka Viral Video,0.8,0.65,0.8,0.0,1,Disaster
16,2023-10-27,12th Fail,70.05,56.24,66.55,3.5,1,SuperHit
17,2023-10-27,Tejas,8.05,6.2,7.3,0.75,1,Disaster
18,2023-10-20,Yaariyan 2,3.5,2.75,3.25,0.25,1,
19,2023-10-20,Tiger Nageswara Rao,49.0,2.02,44.5,4.5,1,
20,2023-10-20,Ganapath - A Hero Is Born,18.0,13.02,15.5,2.5,1,Disaster
21,2023-10-19,Leo,605.9,27.17,401.9,204.0,1,SuperHit
22,2023-10-06,The Exorcist: Believer,930.0,1.73,6.0,924.0,1,Disaster
23,2023-10-06,Thank You For Coming,9.6,6.87,8.0,1.6,1,
24,2023-10-06,Dono,1.1,0.95,1.1,0.0,1,
25,2023-10-06,Mission Raniganj,46.0,34.17,40.4,5.6,1,
26,2023-09-28,Chandramukhi 2,54.1,0.81,46.1,8.0,1,
27,2023-09-28,Skanda,53.0,0.31,48.75,4.25,1,
28,2023-09-28,Fukrey 3,127.75,95.95,113.25,14.5,1,Hit
29,2023-09-28,The Vaccine War,14.7,10.33,12.2,2.5,1,
30,2023-09-22,Sukhee,2.2,1.84,2.2,0.0,1,
31,2023-09-22,The Great Indian Family,6.1,5.17,6.1,0.0,1,
32,2023-09-22,Expend4bles,295.0,1.37,5.2,289.8,1,
33,2023-09-07,The Nun 2,2150.0,16.8,54.6,1440.0,1,Hit
34,2023-09-07,Jawan,1160.0,582.31,760.0,400.0,300,All Time Blockbuster
35,2023-08-25,Akelli,1.2,0.9,1.05,0.15,1,
36,2023-08-25,Dream Girl 2,142.2,106.71,126.0,16.2,60,Hit
37,2023-08-18,Ghoomer,7.15,4.97,5.9,1.25,1,Disaster
38,2023-08-18,Blue Beetle,500.0,1.95,8.2,225.0,1,
39,2023-08-11,OMG 2,221.75,151.16,178.75,43.0,70,SuperHit
40,2023-08-11,Gadar 2,686.0,525.7,620.5,65.5,75,All Time Blockbuster
41,2023-08-10,Jailer,604.5,7.24,408.5,196.0,200,
42,2023-08-03,Meg 2: The Trench,2680.0,6.3,23.1,2080.0,1,
43,2023-07-28,Rocky Aur Rani Ki Prem Kahani,357.5,153.55,182.5,175.0,170,Hit
44,2023-07-21,Ajmer 92,2.15,1.8,2.15,0.0,1,
45,2023-07-21,Oppenheimer,7925.0,13.11,157.5,5210.0,1,Hit
46,2023-07-12,Mission Impossible – Dead Reckoning Part One,4725.0,33.89,131.25,3290.0,1,Hit
47,2023-07-07,72 Hoorain,1.5,1.61,1.5,0.0,1,
48,2023-07-07,Neeyat,6.9,5.79,6.9,0.0,1,
49,2023-07-06,Insidious: The Red Door,1060.0,6.43,21.4,535.0,1,
50,2023-06-29,Spy,21.0,0.54,17.5,3.5,1,
51,2023-06-29,Indiana Jones and the Dial of Destiny,,2.85,,,1,
52,2023-06-29,Satyaprem Ki Katha,118.5,77.04,92.5,26.0,1,Hit
53,2023-06-23,1920: Horrors of the Heart,17.35,13.02,16.85,0.5,1,
54,2023-06-16,Adipurush,393.0,147.92,343.0,50.0,500,Flop
55,2023-06-15,The Flash,2220.0,7.14,35.5,1330.0,1,
56,2023-06-08,Transformers: Rise of the Beast,2400.0,9.0,33.2,1450.0,1,
57,2023-06-02,Zara Hatke Zara Bachke,116.0,88.35,104.7,11.3,1,SuperHit
58,2023-06-01,Spider-Man: Across the Spider-Verse,5650.0,10.12,53.8,2510.0,1,
59,2023-05-26,Jogira Sara Ra Ra,0.95,1.93,0.95,0.0,1,
60,2023-05-18,Fast X,5800.0,53.11,131.7,4600.0,1,SuperHit
61,2023-05-12,IB 71,29.7,23.1,27.5,2.2,1,Average
62,2023-05-12,Chatrapathi (Hindi),1.95,2.53,1.95,0.0,1,Disaster
63,2023-05-05,Afwaah,0.11,0.1,0.11,0.0,1,
64,2023-05-05,Ramabanam,8.3,0.01,8.0,0.3,1,
65,2023-05-05,Guardians of the Galaxy Vol. 3,6550.0,19.49,72.1,3800.0,1,
66,2023-05-05,The Kerala Story,302.0,239.05,286.5,15.5,15,All Time Blockbuster
